"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"7987",3406,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.353333717081924, 48.86753979255818], [2.353407481512662, 48.86767118197449]]}","48.8676054873, 2.3533705993"
"7988",3422,10,"NON","BOULEVARD DE","STRASBOURG","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.356815942202227, 48.873719551233826], [2.356996355626287, 48.874043608248684]]}","48.8738815797, 2.35690614891"
"7996",4447,9,"NON","RUE","LAMARTINE","VOIE 30","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.340308239185167, 48.87661286470145], [2.339606565908022, 48.87667681159111]]}","48.8766448381, 2.33995740255"
"7997",4452,9,"NON","RUE DE LA","TOUR D AUVERGNE","VOIE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.34542313519565, 48.87874252677418], [2.345223539124884, 48.87878684077389]]}","48.8787646838, 2.34532333716"
"7998",4454,9,"NON","RUE","BALLU","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.329044973335123, 48.88212547349595], [2.331590915529473, 48.88150900396795]]}","48.8818172387, 2.33031794443"
"7999",4455,9,"NON","RUE","BALLU","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.328003935273266, 48.88237520656458], [2.328675774364728, 48.88221486488666]]}","48.8822950357, 2.32833985482"
"8000",4459,9,"NON","RUE","PIERRE HARET","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.330192662448704, 48.883414960494925], [2.330347889931783, 48.883576682042886], [2.330394447060793, 48.883659748526775], [2.330766524364607, 48.8840210900839]]}","48.8837229971, 2.33047372609"
"8001",3367,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.32448010895131, 48.874154940759134], [2.324068134824215, 48.874209460497944]]}","48.8741822006, 2.32427412189"
"8002",3370,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322878433699167, 48.87437015929593], [2.322745323394283, 48.87438842877942], [2.32258867584831, 48.87440914415727]]}","48.8743898287, 2.32273357862"
"8003",3372,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320597536590868, 48.87467243697445], [2.3204691827297212, 48.87469346193198], [2.320353242166258, 48.87474598570025], [2.320257026892128, 48.87478526302909], [2.3202515437188422, 48.87478792119166], [2.320245686852329, 48.874789602896804], [2.32023962871536, 48.8747902586361], [2.320233547655993, 48.874789869104944], [2.320227622697105, 48.874788445770925], [2.320222028266069, 48.87478603053617], [2.320151135723838, 48.87475019841436]]}","48.8747330288, 2.32037086849"
"8004",3381,2,"NON","RUE","REAUMUR","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.35207414001992, 48.86629495488495], [2.352300449789012, 48.866245633010095]]}","48.8662702939, 2.3521872949"
"8005",3383,4,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.348365033863362, 48.858661797908645], [2.348413572693538, 48.85874897350829]]}","48.8587053857, 2.34838930328"
"8006",3386,4,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.348847200276233, 48.859527753275806], [2.3490881886025132, 48.85996054878646]]}","48.859744151, 2.34896769444"
"8007",3403,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.352669257303268, 48.86635622226163], [2.3529913226372923, 48.86692990911021]]}","48.8666430657, 2.35283028997"
"8008",3409,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.353732404789004, 48.868249927632135], [2.3539204811475543, 48.86858491837775]]}","48.868417423, 2.35382644297"
"8009",3411,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.353984843897524, 48.86869955650927], [2.354071747819202, 48.86885434242162]]}","48.8687769495, 2.35402829586"
"8010",3421,10,"NON","BOULEVARD DE","STRASBOURG","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.356996355626287, 48.874043608248684], [2.357238417198621, 48.87447839021729], [2.357339297580383, 48.87454698550827], [2.357345641411294, 48.87455763012799]]}","48.8743152927, 2.35715489753"
"8011",3426,9,"NON","RUE DE LA","PEPINIERE","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","CONTRESENS","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323657669422496, 48.87521699527375], [2.32299222940516, 48.87518177360148]]}","48.8751993844, 2.32332494941"
